date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:03	35787/35787	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:09%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-23	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-23.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:04	34182/34182	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:10%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-24	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-24.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:04	35204/35204	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:10%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-25	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-25.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:07	34300/34300	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:12%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-27	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-27.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:08	33895/33895	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:14%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-28	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-28.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:09	37518/37518	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:14%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-29	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-29.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:09	31142/31142	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:10%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-26	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-26.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:11	35198/35198	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:15%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-30	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-30.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:11	35059/35059	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:15%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-31	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-31.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:11	34268/34268	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:18%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-32	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-32.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:12	43616/43616	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:18%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-33	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-33.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:12	34338/34338	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:18%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-34	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-34.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:12	35381/35381	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:19%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-35	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-35.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:13	33173/33173	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:19%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-36	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-36.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:13	38195/38195	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:19%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-37	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-37.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:13	31404/31404	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:19%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-38	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-38.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:14	37737/37737	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:20%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-39	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-39.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:14	356818/356818	---M--	200	added ('OK')	image/jpeg	etag:%22571d2-58f9bfa979cad%22	https://codewithharry.com/static/common/uploads/EHb7yL4.jpg	E:/New%20folder/website1/codewithharry.com/static/common/uploads/EHb7yL4.jpg	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:50:14	40985/40985	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:20%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-40	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-40.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:15	40788/40788	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:21%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-45	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-45.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:15	37723/37723	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:21%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-46	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-46.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:15	37027/37027	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:22%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-47	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-47.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
